,TC_NAME,Request Data,Response Data
151,007_VTC_startTransaction_TC6_파라미터size_필수파라미터null_필수파라미터누락_파라미터type,"[2, '97685a19-722f-4fae-8849-1cb8da9c83e0', 'startTransaction', '{    ""connectorId"": 1111111111111,    ""idTag"": """",    ""timestamp"": 2022-08-24T13: 50: 09Z}']","[4, '97685a19-722f-4fae-8849-1cb8da9c83e0', {'errorCode': 'GenericError', 'ErrorDescription': 'Unknown Error, please check your request data'}]"
152,007_VTC_startTransaction_TC7_파라미터size_필수파라미터null_파라미터type_파라미터type,"[2, '6c321236-18ed-40fb-b07c-b69d64ac050e', 'startTransaction', '{    ""connectorId"": 1111111111111,    ""idTag"": """",    ""meterStart"": ""24062"",    ""timestamp"": 2022-08-24T13: 50: 09Z}']","[4, '6c321236-18ed-40fb-b07c-b69d64ac050e', {'errorCode': 'GenericError', 'ErrorDescription': 'Unknown Error, please check your request data'}]"
153,007_VTC_startTransaction_TC8_파라미터size_필수파라미터누락_파라미터size_특수문자,"[2, 'e0f55797-4d78-4eaa-8f42-ef410a317599', 'startTransaction', '{    ""connectorId"": 1111111111111,    ""meterStart"": 24062111111111100,    ""timestamp"": ""2022-08-2#T13:50:09Z""}']","[4, 'e0f55797-4d78-4eaa-8f42-ef410a317599', {'errorCode': 'GenericError', 'ErrorDescription': 'Unknown Error, please check your request data'}]"
154,007_VTC_startTransaction_TC9_파라미터size_특수문자_필수파라미터누락_필수파라미터null,"[2, '3d7b4b6b-64af-4a70-8030-e21080c14ff6', 'startTransaction', '{    ""connectorId"": 1111111111111,    ""idTag"": ""10100101#9456363"",    ""timestamp"": """"}']","[4, '3d7b4b6b-64af-4a70-8030-e21080c14ff6', {'errorCode': 'GenericError', 'ErrorDescription': 'Unknown Error, please check your request data'}]"
155,007_VTC_startTransaction_TC10_파라미터size_파라미터size_필수파라미터누락_특수문자,"[2, 'd9e32c01-0e25-4d1e-8e7b-82fc6f3b0f08', 'startTransaction', '{    ""connectorId"": 1111111111111,    ""idTag"": ""10100101794563631111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111"",    ""timestamp"": ""2022-08-2#T13:50:09Z""}']","[4, 'd9e32c01-0e25-4d1e-8e7b-82fc6f3b0f08', {'errorCode': 'GenericError', 'ErrorDescription': 'Unknown Error, please check your request data'}]"
156,007_VTC_startTransaction_TC11_파라미터size_파라미터type_파라미터size_필수파라미터null,"[2, 'a5d6bbb0-a44c-439c-8432-989b200c4d05', 'startTransaction', '{    ""connectorId"": 1111111111111,    ""idTag"": 1010010179456360,    ""meterStart"": 24062111111111100,    ""timestamp"": """"}']","[4, 'a5d6bbb0-a44c-439c-8432-989b200c4d05', {'errorCode': 'GenericError', 'ErrorDescription': 'Unknown Error, please check your request data'}]"
157,007_VTC_startTransaction_TC12_파라미터size_띄어쓰기_파라미터type_필수파라미터누락,"[2, '87295bca-eb37-4eee-a552-0637843836ce', 'startTransaction', '{    ""connectorId"": 1111111111111,    ""idTag"": ""10100101 9456363"",    ""meterStart"": ""24062""}']","[4, '87295bca-eb37-4eee-a552-0637843836ce', {'errorCode': 'GenericError', 'ErrorDescription': 'Unknown Error, please check your request data'}]"
158,007_VTC_startTransaction_TC13_파라미터size_필수파라미터null_파라미터size_파라미터size,"[2, '34f1395f-1ec8-4735-964c-fafbb2a48e42', 'startTransaction', '{""connectorId"":1111111111111,""idTag"":"""",""meterStart"":24062111111111100,""timestamp"":""2022-08-24T13:50:09Z11111""}']","[4, '34f1395f-1ec8-4735-964c-fafbb2a48e42', {'errorCode': 'GenericError', 'ErrorDescription': 'Unknown Error, please check your request data'}]"
159,007_VTC_startTransaction_TC14_파라미터size_필수파라미터null_필수파라미터누락_띄어쓰기,"[2, '04085e75-889c-4c97-a851-854de245fc79', 'startTransaction', '{    ""connectorId"": 1111111111111,    ""idTag"": """",    ""timestamp"": ""2022-08-2 T13:50:09Z""}']","[4, '04085e75-889c-4c97-a851-854de245fc79', {'errorCode': 'GenericError', 'ErrorDescription': 'Unknown Error, please check your request data'}]"
160,007_VTC_startTransaction_TC15_파라미터size_띄어쓰기_필수파라미터누락_띄어쓰기,"[2, '7f2640f6-40bd-4f0a-8e7a-6ce12537a640', 'startTransaction', '{    ""connectorId"": 1111111111111,    ""idTag"": ""10100101 9456363"",    ""timestamp"": ""2022-08-2 T13:50:09Z""}']","[4, '7f2640f6-40bd-4f0a-8e7a-6ce12537a640', {'errorCode': 'GenericError', 'ErrorDescription': 'Unknown Error, please check your request data'}]"
161,007_VTC_startTransaction_TC16_파라미터size_파라미터type_필수파라미터누락_띄어쓰기,"[2, '4a43d227-298f-42ca-ace0-76dd8e138c7d', 'startTransaction', '{    ""connectorId"": 1111111111111,    ""idTag"": 1010010179456360,    ""timestamp"": ""2022-08-2 T13:50:09Z""}']","[4, '4a43d227-298f-42ca-ace0-76dd8e138c7d', {'errorCode': 'GenericError', 'ErrorDescription': 'Unknown Error, please check your request data'}]"
162,007_VTC_startTransaction_TC17_파라미터size_파라미터size_필수파라미터누락_필수파라미터누락,"[2, '869517c8-c118-41fa-9066-a521fdc3f40b', 'startTransaction', '{    ""connectorId"": 1111111111111,    ""idTag"": ""10100101794563631111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111""}']","[4, '869517c8-c118-41fa-9066-a521fdc3f40b', {'errorCode': 'GenericError', 'ErrorDescription': 'Unknown Error, please check your request data'}]"
163,007_VTC_startTransaction_TC18_파라미터size_특수문자_필수파라미터누락_띄어쓰기,"[2, 'cd3d0c6b-38ec-4e45-b175-cf894d951399', 'startTransaction', '{    ""connectorId"": 1111111111111,    ""idTag"": ""10100101#9456363"",    ""timestamp"": ""2022-08-2 T13:50:09Z""}']","[4, 'cd3d0c6b-38ec-4e45-b175-cf894d951399', {'errorCode': 'GenericError', 'ErrorDescription': 'Unknown Error, please check your request data'}]"
164,007_VTC_startTransaction_TC19_파라미터size_필수파라미터누락_필수파라미터누락_필수파라미터null,"[2, 'b885db69-7d07-4d53-a240-e210aa8d1526', 'startTransaction', '{    ""connectorId"": 1111111111111,    ""timestamp"": """"}']","[4, 'b885db69-7d07-4d53-a240-e210aa8d1526', {'errorCode': 'GenericError', 'ErrorDescription': 'Unknown Error, please check your request data'}]"
165,007_VTC_startTransaction_TC20_파라미터size_필수파라미터null_필수파라미터누락_필수파라미터null,"[2, '24c06024-7638-4013-98b8-96178eef8d38', 'startTransaction', '{    ""connectorId"": 1111111111111,    ""idTag"": """",    ""timestamp"": """"}']","[4, '24c06024-7638-4013-98b8-96178eef8d38', {'errorCode': 'GenericError', 'ErrorDescription': 'Unknown Error, please check your request data'}]"
166,007_VTC_startTransaction_TC21_파라미터size_필수파라미터누락_필수파라미터누락_파라미터size,"[2, 'e30948f9-e94a-443b-aa7a-3257e2757a95', 'startTransaction', '{    ""connectorId"": 1111111111111,    ""timestamp"": ""2022-08-24T13:50:09Z11111""}']","[4, 'e30948f9-e94a-443b-aa7a-3257e2757a95', {'errorCode': 'GenericError', 'ErrorDescription': 'Unknown Error, please check your request data'}]"
167,007_VTC_startTransaction_TC22_파라미터size_특수문자_필수파라미터누락_특수문자,"[2, '978213a6-b4be-443d-891b-2f3718f66863', 'startTransaction', '{    ""connectorId"": 1111111111111,    ""idTag"": ""10100101#9456363"",    ""timestamp"": ""2022-08-2#T13:50:09Z""}']","[4, '978213a6-b4be-443d-891b-2f3718f66863', {'errorCode': 'GenericError', 'ErrorDescription': 'Unknown Error, please check your request data'}]"
168,007_VTC_startTransaction_TC23_파라미터size_파라미터size_필수파라미터누락_파라미터size,"[2, '76805b29-d9ac-47ce-945e-76c59038a852', 'startTransaction', '{    ""connectorId"": 1111111111111,    ""idTag"": ""10100101794563631111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111"",    ""timestamp"": ""2022-08-24T13:50:09Z11111""}']","[4, '76805b29-d9ac-47ce-945e-76c59038a852', {'errorCode': 'GenericError', 'ErrorDescription': 'Unknown Error, please check your request data'}]"
