,TC명,수행시간,요청 데이터,응답 데이터
22,001_VTC_bootNotification_TC17_파라미터size_파라미터size_필수파라미터null_파라미터type_필수파라미터누락_파라미터type_파라미터size_띄어쓰기,0.16265690000727773,"[2, 'e9302573-64f6-4b78-ab0a-d1f2ab29d3be', 'bootNotification', '{    ""chargePointModel"": ""ELA007C011111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111"",    ""chargePointVendor"": ""EVAR11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111"",    ""chargePointSerialNumber"": """",    ""firmwareVersion"": 0.2.10,    ""Reason"":PowerUp,    ""rssi"": ""-4.2"",    ""lmsi"": ""45006122299018111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111"",    ""Entityid"": ""ASN_CSE-D- f288259452d-EVSP""}']","[4, 'e9302573-64f6-4b78-ab0a-d1f2ab29d3be', {'errorCode': 'GenericError', 'ErrorDescription': 'Unknown Error, please check your request data'}]"
23,001_VTC_bootNotification_TC18_파라미터size_파라미터type_특수문자_파라미터type_필수파라미터null_필수파라미터누락_특수문자_필수파라미터null,0.11769119999371469,"[2, '390f4bba-b295-4b8f-ba6e-457376346611', 'bootNotification', '{    ""chargePointModel"": ""ELA007C011111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111"",    ""chargePointVendor"":EVAR,    ""chargePointSerialNumber"": ""EVSCA#0100584"",    ""firmwareVersion"": 0.2.10,    ""Reason"":PowerUp,    ""lmsi"": ""450061222#990181"",    ""Entityid"": """"}']","[4, '390f4bba-b295-4b8f-ba6e-457376346611', {'errorCode': 'GenericError', 'ErrorDescription': 'Unknown Error, please check your request data'}]"
24,001_VTC_bootNotification_TC19_파라미터size_파라미터type_특수문자_필수파라미터null_파라미터size_필수파라미터누락_필수파라미터누락_파라미터type,0.10093549999874085,"[2, 'ee794ba0-2417-4363-9f62-df2a45afe676', 'bootNotification', '{    ""chargePointModel"": ""ELA007C011111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111"",    ""chargePointVendor"":EVAR,    ""chargePointSerialNumber"": ""EVSCA#0100584"",    ""firmwareVersion"": """",    ""Reason"": """",    ""Entityid"":ASN_CSE-D-f288259452d-EVSP}']","[4, 'ee794ba0-2417-4363-9f62-df2a45afe676', {'errorCode': 'GenericError', 'ErrorDescription': 'Unknown Error, please check your request data'}]"
25,001_VTC_bootNotification_TC20_파라미터size_파라미터type_파라미터size_파라미터size_파라미터size_필수파라미터누락_파라미터size_필수파라미터null,0.1256881000008434,"[2, 'e00a6d32-9b72-43eb-a328-77bda1100b21', 'bootNotification', '{    ""chargePointModel"": ""ELA007C011111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111"",    ""chargePointVendor"":EVAR,    ""chargePointSerialNumber"": ""EVSCA01005841111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111"",    ""firmwareVersion"": ""0.2.101111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111"",    ""Reason"": ""PowerUp11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111"",    ""lmsi"": ""45006122299018111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111"",    ""Entityid"": """"}']","[4, 'e00a6d32-9b72-43eb-a328-77bda1100b21', {'errorCode': 'GenericError', 'ErrorDescription': 'Unknown Error, please check your request data'}]"
26,001_VTC_bootNotification_TC21_파라미터size_파라미터type_파라미터type_띄어쓰기_특수문자_필수파라미터누락_필수파라미터누락_특수문자,0.07473560003563762,"[2, '95d7b6d2-e370-41ff-a9a7-cf45ef260682', 'bootNotification', '{    ""chargePointModel"": ""ELA007C011111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111"",    ""chargePointVendor"":EVAR,    ""chargePointSerialNumber"":EVSCA0100584,    ""firmwareVersion"": ""0.2. 10"",    ""Reason"": ""Power Up"",    ""Entityid"": ""ASN_CSE-D-#f288259452d-EVSP""}']","[4, '95d7b6d2-e370-41ff-a9a7-cf45ef260682', {'errorCode': 'GenericError', 'ErrorDescription': 'Unknown Error, please check your request data'}]"
27,001_VTC_bootNotification_TC22_파라미터size_파라미터type_파라미터type_특수문자_띄어쓰기_필수파라미터누락_파라미터size_필수파라미터누락,0.11908279999624938,"[2, '6bcebf78-c2ac-4ec7-a203-86bd779051e9', 'bootNotification', '{    ""chargePointModel"": ""ELA007C011111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111"",    ""chargePointVendor"":EVAR,    ""chargePointSerialNumber"":EVSCA0100584,    ""firmwareVersion"": ""0.2#10"",    ""Reason"": ""Power#Up"",    ""lmsi"": ""45006122299018111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111""}']","[4, '6bcebf78-c2ac-4ec7-a203-86bd779051e9', {'errorCode': 'GenericError', 'ErrorDescription': 'Unknown Error, please check your request data'}]"
28,001_VTC_bootNotification_TC23_파라미터size_파라미터type_필수파라미터null_필수파라미터null_필수파라미터null_필수파라미터누락_띄어쓰기_필수파라미터null,0.12126709998119622,"[2, '9a69521b-b245-475e-9faa-a69d855ba5c4', 'bootNotification', '{    ""chargePointModel"": ""ELA007C011111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111"",    ""chargePointVendor"":EVAR,    ""chargePointSerialNumber"": """",    ""firmwareVersion"": """",    ""Reason"": """",    ""lmsi"": ""450061222 990181"",    ""Entityid"": """"}']","[4, '9a69521b-b245-475e-9faa-a69d855ba5c4', {'errorCode': 'GenericError', 'ErrorDescription': 'Unknown Error, please check your request data'}]"
29,001_VTC_bootNotification_TC24_파라미터size_파라미터type_필수파라미터누락_필수파라미터null_띄어쓰기_필수파라미터누락_파라미터type_파라미터size,0.10657730000093579,"[2, '107c6546-ae06-4a07-99fc-8bff5c27ab75', 'bootNotification', '{    ""chargePointModel"": ""ELA007C011111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111"",    ""chargePointVendor"":EVAR,    ""firmwareVersion"": """",    ""Reason"": """",    ""lmsi"": 450061222990181,    ""Entityid"": ""ASN_CSE-D-f288259452d-EVSP11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111""}']","[4, '107c6546-ae06-4a07-99fc-8bff5c27ab75', {'errorCode': 'GenericError', 'ErrorDescription': 'Unknown Error, please check your request data'}]"
30,001_VTC_bootNotification_TC25_파라미터type_파라미터size_파라미터size_필수파라미터null_파라미터type_파라미터type_필수파라미터누락_특수문자,0.15678069996647537,"[2, '90289b51-5884-472f-b431-f1047fd88a55', 'bootNotification', '{    ""chargePointModel"":ELA007C01,    ""chargePointVendor"": ""EVAR11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111"",    ""chargePointSerialNumber"": ""EVSCA01005841111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111"",    ""firmwareVersion"": """",    ""Reason"": """",    ""rssi"": ""-4.2"",    ""Entityid"": ""ASN_CSE-D-#f288259452d-EVSP""}']","[4, '90289b51-5884-472f-b431-f1047fd88a55', {'errorCode': 'GenericError', 'ErrorDescription': 'Unknown Error, please check your request data'}]"
31,001_VTC_bootNotification_TC26_파라미터type_파라미터type_띄어쓰기_파라미터size_특수문자_필수파라미터누락_특수문자_필수파라미터누락,0.13433410006109625,"[2, '52aaeab6-a4f9-4d77-b072-e6562ba2d43a', 'bootNotification', '{    ""chargePointModel"":ELA007C01,    ""chargePointVendor"":EVAR,    ""chargePointSerialNumber"": ""EVSCA 0100584"",    ""firmwareVersion"": ""0.2.101111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111"",    ""Reason"": ""PowerUp11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111"",    ""lmsi"": ""450061222#990181""}']","[4, '52aaeab6-a4f9-4d77-b072-e6562ba2d43a', {'errorCode': 'GenericError', 'ErrorDescription': 'Unknown Error, please check your request data'}]"
